group,gender,year_birth,total_orders,total_m,total_f,total_o,regency,abandoned_cars,recupered_cars,orders_3,orders_6,orders_9,campaing_subscribe,conversion,spent_category,Others,colina,la reina,macul,maipu,nunoa,penalolen,providencia,puente alto,puerto montt,punta arenas,rancagua,buy_campaing
1,1,3,5,0,627510,0,14,0,0,1,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,2,0,493000,0,4,0,0,0,1,1,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,5,0,465159,0,9,1,1,1,1,1,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,5,0,435611,0,9,0,0,1,1,1,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,7,0,384755,0,21,1,0,1,1,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,2,0,375652,0,5,0,0,1,1,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,5,0,264230,101410,12,0,0,0,1,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,4,0,345650,0,9,0,0,1,1,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,0,323659,0,6,0,0,1,1,1,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,3,0,319886,0,6,0,0,1,1,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,4,0,287820,0,8,0,0,0,1,1,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,3,0,280050,0,8,1,1,0,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,0,277300,0,6,0,0,1,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,264472,0,4,1,0,0,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,0,262250,0,11,0,0,0,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,0,258704,0,9,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,3,0,242800,0,9,0,0,1,1,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,0,240428,0,6,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,4,0,240235,0,8,0,0,1,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,236080,0,7,1,0,1,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
